company_id,overall_rating,overall_score,pros,cons,confidence_score,cashflow_health,cashflow_score,risk_level,allocation_quality,allocation_score,narrative
ADANIENT,Weak,34.75,Healthy revenue growth; Strong profit growth,High leverage levels; Weak interest coverage; Low shareholder returns; Weak cash conversion; Low earnings quality,43.75,Weak,40,HIGH,Poor,25,ADANIENT demonstrates healthy revenue growth. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. High leverage may reduce flexibility. Key concern: high leverage levels. Overall rating: Weak.
GODREJCP,Weak,34.25,Conservative balance sheet,Weak interest coverage; Low shareholder returns; Weak cash conversion; Low earnings quality,31.25,Weak,40,HIGH,Poor,30,GODREJCP demonstrates conservative balance sheet. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. Weak capital efficiency. Balance sheet remains conservative. Key concern: weak interest coverage. Overall rating: Weak.
NAUKRI,Weak,34.0,Conservative balance sheet; Healthy revenue growth; Strong interest coverage,Low shareholder returns; Weak profit growth; Weak cash conversion; Low earnings quality; High capital expenditure requirements,50.0,Weak,40,HIGH,Poor,20,NAUKRI demonstrates conservative balance sheet. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. Weak capital efficiency. Balance sheet remains conservative. Business requires significant capital investment. Key concern: low shareholder returns. Overall rating: Weak.
RELIANCE,Weak,33.75,No major strengths identified,Low shareholder returns; Weak cash conversion; Low earnings quality,18.75,Weak,40,HIGH,Weak,35,RELIANCE demonstrates stable operating profile. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. Key concern: low shareholder returns. Overall rating: Weak.
TVSMOTOR,Weak,33.5,Strong return on equity; Strong profit growth,High leverage levels; Weak interest coverage; Weak cash conversion; Low earnings quality,37.5,Poor,0,HIGH,Strong,65,TVSMOTOR demonstrates strong return on equity. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Weak.
TATASTEEL,Weak,33.0,No major strengths identified,Weak interest coverage; Low shareholder returns; Weak cash conversion; Low earnings quality,25.0,Weak,40,HIGH,Poor,30,TATASTEEL demonstrates stable operating profile. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. Weak capital efficiency. Business requires modest capital investment. Key concern: weak interest coverage. Overall rating: Weak.
NHPC,Weak,32.25,Strong interest coverage,Slow revenue growth; Weak cash conversion; Low earnings quality; High capital expenditure requirements,31.25,Weak,40,HIGH,Poor,25,NHPC demonstrates strong interest coverage. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. Business requires significant capital investment. Key concern: slow revenue growth. Overall rating: Weak.
KOTAKBANK,Weak,32.25,Strong profit growth,High leverage levels; Weak interest coverage; Weak cash conversion; Low earnings quality,31.25,Weak,40,HIGH,Poor,25,KOTAKBANK demonstrates strong profit growth. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. High leverage may reduce flexibility. Key concern: high leverage levels. Overall rating: Weak.
JSWENERGY,Weak,32.0,Strong profit growth,High leverage levels; Weak interest coverage; Slow revenue growth; Low shareholder returns; Weak cash conversion; Low earnings quality; High capital expenditure requirements,50.0,Weak,40,HIGH,Poor,15,JSWENERGY demonstrates strong profit growth. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. High leverage may reduce flexibility. Business requires significant capital investment. Key concern: high leverage levels. Overall rating: Weak.
ADANIENSOL,Weak,32.0,Healthy revenue growth; Strong profit growth,High leverage levels; Weak interest coverage; Low shareholder returns; Weak cash conversion; Low earnings quality; High capital expenditure requirements,50.0,Weak,40,HIGH,Poor,15,ADANIENSOL demonstrates healthy revenue growth. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. High leverage may reduce flexibility. Business requires significant capital investment. Key concern: high leverage levels. Overall rating: Weak.
ICICIBANK,Weak,30.75,Healthy revenue growth; Strong profit growth,High leverage levels; Weak interest coverage; Weak cash conversion; Low earnings quality; High capital expenditure requirements,43.75,Weak,40,HIGH,Poor,15,ICICIBANK demonstrates healthy revenue growth. Operating cash flow remains positive. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. High leverage may reduce flexibility. Business requires significant capital investment. Key concern: high leverage levels. Overall rating: Weak.
PFC,Poor,27.5,Strong return on equity; Strong profit growth,High leverage levels; Weak interest coverage; Weak cash conversion; Low earnings quality,37.5,Poor,0,HIGH,Average,50,PFC demonstrates strong return on equity. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Poor.
RECLTD,Poor,27.5,Strong return on equity; Strong profit growth,High leverage levels; Weak interest coverage; Weak cash conversion; Low earnings quality,37.5,Poor,0,HIGH,Average,50,RECLTD demonstrates strong return on equity. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Strong shareholder returns. Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Poor.
M&M,Poor,25.0,Strong profit growth,High leverage levels; Weak cash conversion; Low earnings quality,25.0,Poor,0,HIGH,Average,50,M&M demonstrates strong profit growth. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Poor.
BHEL,Poor,24.75,Conservative balance sheet,Weak interest coverage; Slow revenue growth; Low shareholder returns; Weak profit growth; Weak cash conversion; Low earnings quality,43.75,Poor,0,HIGH,Weak,40,BHEL demonstrates conservative balance sheet. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. Weak capital efficiency. Balance sheet remains conservative. Business requires modest capital investment. Key concern: weak interest coverage. Overall rating: Poor.
BANKBARODA,Poor,21.5,Healthy revenue growth; Strong profit growth,High leverage levels; Weak interest coverage; Weak cash conversion; Low earnings quality,37.5,Poor,0,HIGH,Weak,35,BANKBARODA demonstrates healthy revenue growth. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Poor.
INDUSINDBK,Poor,21.5,Healthy revenue growth; Strong profit growth,High leverage levels; Weak interest coverage; Weak cash conversion; Low earnings quality,37.5,Poor,0,HIGH,Weak,35,INDUSINDBK demonstrates healthy revenue growth. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Poor.
SHRIRAMFIN,Poor,21.5,Healthy revenue growth; Strong profit growth,High leverage levels; Weak interest coverage; Weak cash conversion; Low earnings quality,37.5,Poor,0,HIGH,Weak,35,SHRIRAMFIN demonstrates healthy revenue growth. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Poor.
GRASIM,Poor,21.0,Strong profit growth,High leverage levels; Weak cash conversion; Low earnings quality,25.0,Poor,0,HIGH,Weak,40,GRASIM demonstrates strong profit growth. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. High leverage may reduce flexibility. Key concern: high leverage levels. Overall rating: Poor.
AXISBANK,Poor,20.25,Strong profit growth,High leverage levels; Weak interest coverage; Weak cash conversion; Low earnings quality,31.25,Poor,0,HIGH,Weak,35,AXISBANK demonstrates strong profit growth. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. High leverage may reduce flexibility. Business requires modest capital investment. Key concern: high leverage levels. Overall rating: Poor.
BAJFINANCE,Poor,17.5,Healthy revenue growth; Strong profit growth; Strong interest coverage,High leverage levels; Weak cash conversion; Low earnings quality,37.5,Poor,0,HIGH,Poor,25,BAJFINANCE demonstrates healthy revenue growth. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. High leverage may reduce flexibility. Key concern: high leverage levels. Overall rating: Poor.
CHOLAFIN,Poor,17.5,Healthy revenue growth; Strong profit growth; Strong interest coverage,High leverage levels; Weak cash conversion; Low earnings quality,37.5,Poor,0,HIGH,Poor,25,CHOLAFIN demonstrates healthy revenue growth. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Weak capital efficiency. High leverage may reduce flexibility. Key concern: high leverage levels. Overall rating: Poor.
JIOFIN,Poor,15.5,Conservative balance sheet; Strong interest coverage,Low shareholder returns; Weak cash conversion; Low earnings quality; High capital expenditure requirements,37.5,Poor,0,HIGH,Poor,20,JIOFIN demonstrates conservative balance sheet. Negative operating cash flow is a warning sign. Weak cash conversion may impact future growth. Reported earnings may not be strongly supported by cash generation. Low shareholder returns. Weak capital efficiency. Balance sheet remains conservative. Business requires significant capital investment. Key concern: low shareholder returns. Overall rating: Poor.
